government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Corporate Services,2018,Main appropriation,62040000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Corporate Services,2019,Medium Term Estimates,65199000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Corporate Services,2020,Medium Term Estimates,70164000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Financial   Management,2018,Main appropriation,103528000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Financial   Management,2019,Medium Term Estimates,111657000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Financial   Management,2020,Medium Term Estimates,111197000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Office of the HOD,2018,Main appropriation,66090000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Office of the HOD,2019,Medium Term Estimates,73291000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Office of the HOD,2020,Medium Term Estimates,76956000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Office of the MEC,2018,Main appropriation,3029000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Office of the MEC,2019,Medium Term Estimates,3141000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Administration,Office of the MEC,2020,Medium Term Estimates,3368000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Business  Regulation & Governance,2018,Main appropriation,141615000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Business  Regulation & Governance,2019,Medium Term Estimates,149301000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Business  Regulation & Governance,2020,Medium Term Estimates,159037000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Economic Planning,2018,Main appropriation,7525000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Economic Planning,2019,Medium Term Estimates,7517000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Economic Planning,2020,Medium Term Estimates,7893000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Intergrated Economic Development Services,2018,Main appropriation,180827000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Intergrated Economic Development Services,2019,Medium Term Estimates,185439000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Intergrated Economic Development Services,2020,Medium Term Estimates,196016000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Tourism,2018,Main appropriation,9050188.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Tourism,2019,Medium Term Estimates,6994000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Tourism,2020,Medium Term Estimates,8456000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Trade  and Sector  Development,2018,Main appropriation,252525000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Trade  and Sector  Development,2019,Medium Term Estimates,195453000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Economic Development  and Tourism,Trade  and Sector  Development,2020,Medium Term Estimates,203962000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Biodiversity Management,2018,Main appropriation,211234000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Biodiversity Management,2019,Medium Term Estimates,222228000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Biodiversity Management,2020,Medium Term Estimates,233648000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Compliance and Enforcement,2018,Main appropriation,45735000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Compliance and Enforcement,2019,Medium Term Estimates,57051000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Compliance and Enforcement,2020,Medium Term Estimates,62314000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Environmental Empowerment Services,2018,Main appropriation,13159000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Environmental Empowerment Services,2019,Medium Term Estimates,13826000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Environmental Empowerment Services,2020,Medium Term Estimates,14514000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,"Environmental Policy, Planning and Coordination",2018,Main appropriation,26310000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,"Environmental Policy, Planning and Coordination",2019,Medium Term Estimates,24962000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,"Environmental Policy, Planning and Coordination",2020,Medium Term Estimates,26203000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Environmental Quality Management,2018,Main appropriation,23339000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Environmental Quality Management,2019,Medium Term Estimates,24521000.0
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",Environmental  Affairs,Environmental Quality Management,2020,Medium Term Estimates,25739000.0
Eastern Cape,Education,Administration,Education Management Information System (EMIS),2018,Main appropriation,54212000.0
Eastern Cape,Education,Administration,Education Management Information System (EMIS),2019,Medium Term Estimates,68368000.0
Eastern Cape,Education,Administration,Education Management Information System (EMIS),2020,Medium Term Estimates,82679000.0
Eastern Cape,Education,Administration,Corporate Services,2018,Main appropriation,1569355983.98786
Eastern Cape,Education,Administration,Corporate Services,2019,Medium Term Estimates,1642493000.0
Eastern Cape,Education,Administration,Corporate Services,2020,Medium Term Estimates,1878800000.0
Eastern Cape,Education,Administration,Education Management,2018,Main appropriation,1353566043.29891
Eastern Cape,Education,Administration,Education Management,2019,Medium Term Estimates,1390349000.0
